user_id,message
1,University of Szeged
2,Curry College
3,China Agricultural University
4,Yasar University
5,Universidad Miguel de Cervantes
6,Aleksander Gieysztor School of Humanities in Pultusk
7,Kunstakademie Düsseldorf.
8,St.Kliment Ohridski University
9,Fachhochschule St. Pölten
10,Obafemi Awolowo University Ile-Ife
11,Hampton College
12,Dav University
13,Parwan University
14,University of Marketing and Distribution Sciences
15,Pan Africa Christian University
16,Bryn Mawr College
17,European University at St.Petersburg
18,Semnan University
19,Kirchliche Hochschule Bethel
20,Saito College
21,Satakunta University Of Applied Scinces
22,Universidad Salesiana de Bolivia
23,Avicenna International College
24,Seoul Women's University
25,Jones College
26,Sana'a University
27,Universidade Catolica Portuguesa
28,Mahachulalongkorn Buddhist University
29,Ecole Nationale de la Statistique et de l'Analyse de l'information
30,Moscow State University M.V. Lomonosov
31,University of Management & Technology
32,University of the Visayas
33,Kanda University of International Studies
34,Karelian State Pedagogical University
35,Altai State Medical University
36,Université de Cergy-Pontoise
37,London Metropolitan University
38,L'Université de l'Entreprise
39,Stefan University
40,Hanoi University of Science
41,Okinawa Prefectural University of Fine Arts
42,Occidental College
43,Ulyanovsk State University
44,"Benedictine University, Springfield College in Illinois"
45,University of Foggia
46,Janos Selye University
47,Xuzhou Normal University
48,"University of Virginia, College at Wise"
49,Morioka College
50,University of Bialystok
51,Salem College
52,Engineering Colleges in Tamil Nadu
53,Belarussian State Polytechnical Academy
54,Kanagawa Dental College
55,Kurukshetra University
56,National Taiwan University
57,Universitas Merdeka Malang
58,Indiana University of Pennsylvania
59,Fushun Petroleum University
60,South Valley University
61,Maxim Gorky Institute of Literature
62,Zayed University
63,Oita University
64,Queens College
65,Fachhochschule Merseburg
66,College of Notre Dame of Maryland
67,Accra Polytechnic 
68,Universidad Técnica Estatal de Quevedo
69,San Francisco Conservatory of Music
70,Universidad Interamericana
71,Shah Abdul Latif University Khairpur
72,Université de M'sila
73,Florida Gulf Coast University
74,Islamic University of Medinah
75,Odense University
76,Livingstone College
77,Cheju National University of Education
78,Regent International University
79,Universidade Estadual do Oeste do Paraná
80,Universidad Atlantida Argentina
81,New York Institute of Technology
82,People's University of Bangladesh
83,Novosibirsk State Technical University
84,Grinnell College
85,Saskatchewan Indian Federated College
86,International College of Tourism and Hotel Management
87,International Theravada Buddhist Missionary University
88,"CollegeAmerica, Denver"
89,Technical University of Gdansk
90,Petro Mohyla Black Sea State University
91,Gurukula Kangri University
92,Beijing Foreign Studies University
93,Ulaanbaatar University
94,American University of Tirana
95,Shokei College
96,University of Wisconsin - Stevens Point
97,Escola Superior de Artes e Design
98,Institut Sains dan Teknologi Al Kamal
99,Odessa National Polytechnic University
100,Popakademie Baden-Württemberg
101,Kanagawa Institute of Technology
102,Astrakhan State University
103,Aarhus School of Business
104,Wentworth Institute of Technology
105,Wilbur Wright College
106,Hanoi National Economics University
107,Morehouse School of Medicine
108,Holy Spirit University of Kaslik
109,"Hogeschool voor Wetenschap en Kunst (VLEKHO), Brussel"
110,Turku School of Economics and Business Administration
111,Delijan Payame Noor University
112,"Physical Education Academy ""Jedrzej Sniadecki"" in Gdansk"
113,Rostov State University
114,Universitas Airlangga
115,Open University of Sri Lanka
116,Oral Roberts University
117,Ecole Polytechnique Marseille
118,New England Conservatory of Music
119,Mamasani University of Technology
120,Banking University of Ho Chi Minh City
121,Warner Pacific College
122,University of Moncton
123,Silver Lake College
124,Free University Stockholm
125,Pacific Union College
126,New England Institute of Technology
127,Maharshi Dayanand Sarswati University Ajmer
128,Balochistan University of Information Technology & Management Sciences 
129,Osaka University
130,University of Silesia
131,"Johns Hopkins University, SAIS Bologna Center"
132,Wheeling Jesuit University
133,Moscow University Touro
134,University of Joensuu
135,Universidad de Santiago de Chile
136,Georgia Southern University
137,Universidad para la Cooperación Internacional
138,Academy of Public Administration of Belarus
139,"Universidad de Puerto Rico, Aguadilla"
140,Mekelle Institute of Technology
141,West Bengal University of Technology
142,College of Mount St. Vincent
143,Ateneo de Davao University
144,Universidad del Cine - Buenos Aires
145,Universiti Tenaga Nasional
146,Saitama University
147,Université de l'Uélé
148,Nirma University
149,Kano State University of Technology Wudil
150,Houston Baptist University
151,Pennsylvania Academy of the Fine Arts
152,Tunku Abdul Rahman Chinese College
153,Oberlin College
154,Hanzehogeschool Groningen
155,"St. Francis College, Loretto"
156,Universidad del Mar
157,Global University
158,State University of New York College at Cortland
159,European Management Center Paris
160,"Rasmussen College, Florida Campuses"
161,Upper Nile University
162,Brandeis University
163,Brown University
164,Ohio State University - Newark
165,Université de Béjaia
166,Technische Universität München
167,Kharkiv National University
168,Sage Graduate School
169,Moscow State University of Environmental Engineering
170,Langston University
171,Columbia Southern University
172,"Universidad de Bogotá ""Jorge Tadeo Lozano"""
173,Universidade Federal do Paraná
174,Oklahoma State University Center for Health Sciences
175,Hochschule Bremerhaven
176,Tashkent Pharmaceutical Institute
177,Volgograd State Pedagogical University
178,University of Connecticut at Hartford
179,Bellevue University
180,Universitas Paramadina Mulya
181,Universidade Católica de Pelotas
182,University of Resita
183,Odessa State Medical University
184,Otsuma Women's University
185,Universidad Francisco de Paula Santander
186,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy
187,University of Insurance and Banking in Warsaw
188,Universidade de Nova Iguaçu
189,Universidad Federico Henríquez y Carvajal
190,University of Management and Marketing
191,Dallas Baptist University
192,Yazd Medical University
193,Université Nancy II
194,Newberry College
195,Shaheed Beheshti University
196,Universidade Salgado de Oliveira
197,National Law School of India University
198,Université de Sfax
199,Universidade Independente
200,Silesian Technical University of Gliwice
201,"International School of New Media, University of Lübeck"
202,Russian State Hydrometeorological University
203,Macquarie University
204,Universidad Nacional de General San Martín
205,State University of New York Health Sience Centre Syracuse
206,Amber University
207,Thamar University
208,Vologda State Pedagogical University
209,University of Victoria
210,Kokushikan University
211,Toyama University of International Studies
212,Universidad de San Pedro Sula
213,University of East Asia
214,Universidad de San Pablo CEU
215,Arak University of Technology
216,Morehouse College
217,University of Cincinnati
218,Amman University
219,Athens University of Economics and Business
220, Université de Nouakchott
221,Crichton College
222,Houdegbe North American University Benin
223,Greenford International University
224,Technological University (West Yangon)
225,Universidad San Francisco Xavier
226,University of Benghazi
227,Universitas Negeri Padang
228,North-West State Technical University
229,"Institute of Teachers Education, Kota Bharu"
230,Multnomah Bible College
231,Université de Ziguinchor
232,Kwantleen University College
233,Hochschule Esslingen
234,Zanjan Institute for Advanced Studies in Basic Sciences
235,Guizhou University
236,Mother Teresa Women's University
237,Keimyung University
238,Lincoln University Pennsylvania
239,Aga Khan University
240,Immanuel Kant State University of Russia
241,Chapman University
242,Universidad de Cádiz
243,CETYS Universidad
244,Universidad Nacional de Tumbes
245,Ittihad Private University
246,Coppin State College
247,Perak Islamic College
248,Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture
249,Virginia Commonwealth University
250,Pomor State University
251,National University of Uzbekistan
252,Universidade Federal da Paraíba
253,Universidad Mariana
254,National Chi Nan University
255,City University
256,University of Arkansas for Medical Sciences
257,International School of Management
258,Universidad de Caldas
259,University of Aleppo
260,Jubail University College
261,Gazi University Ankara
262,Amherst College
263,University of the Philippines Los Banos
264,Buena Vista University
265,St. Mary's University of San Antonio
266,Ege University
267,Wellesley College
268,Ningxia University
269,University of the Punjab
270,Miles College
271,University of Burao
272,International Bible College
273,Universidad Nacional de Quilmes
274,Yantai University
275,Shenyang Institute of Chemical Technology
276,Plekhanov Russian Academy of Economics
277,St. Louis University
278,Kampala International University
279,Athlone Institute of Technology
280,College of Technology at Dammam
281,Western Oregon University
282,Universidad Hispanoamericana
283,Cranbrook Academy of Art
284,Atlantic Union College
285,Kathmandu University
286,Korea National Open University
287,Transylvania University
288,Southern California College
289,Rochester College
290,Bradley University
291,Caritas University
292,"Universidad ""Adolfo Ibañez"""
293,Trinity College of Florida
294,Universitas Sebelas Maret
295,Fontys University of Applied Sciences
296,Vancouver Community College
297,Kitakyushu University
298,Chongqing Wenli University
299,International Christian University
300,Alabama Agricultural and Mechanical University
301,Novgorod State University
302,Xinjiang University of Finance and Economics
303,Kyrgyz National Agrarian University
304,Claremont Graduate University
305,Sampurnanand Sanskrit University
306,Kandahar University
307,University of Groningen
308,Donau-Universität Krems
309,Universidad Pedagógica y Tecnológica de Colombia
310,Xi'an University of Electronic Science and Technology
311,Hochschule für Technik und Wirtschaft Dresden (FH)
312,Oakland City University
313,National University of Computer & Emerging Sciences
314,University of NorthWest
315,International School of Management in Prešov
316,Gokhale Institute of Politics and Economics
317,Al Madinah International University
318,Bethune-Cookman College
319,Bloomfield College
320,Universidad Politécnica de Madrid
321,Rostov State University
322,Université Catholique de Bukavu
323,Universidad Autónoma de Chiapas
324,"British Institute in Paris, University of London"
325,Katholische Fachhochschule Berlin (KFB)
326,Kakatiya University
327,University of the City of Manila
328,Université de Technologie de Compiègne
